"created","tp","pre","hum","amb"
2018-04-20 07:38:40,0,0,51.97,30.14
2018-04-20 07:38:41,25.02,0,0,0
2018-04-20 07:38:52,25.05,0,51.99,30.14
2018-04-20 07:39:03,24.99,0,52,30.14
2018-04-20 07:39:14,0,0,52,0
2018-04-20 07:39:15,24.99,0,0,30.13
2018-04-20 07:39:26,25.02,0,51.99,30.13
2018-04-20 07:39:38,24.92,0,52,30.12
2018-04-20 07:39:49,24.95,0,52.02,30.12
2018-04-20 07:40:00,24.99,0,52.06,30.11
2018-04-20 07:40:12,24.99,0,52.02,30.11
2018-04-20 07:40:23,24.99,0,52.04,30.1
2018-04-20 07:40:35,24.95,0,52.04,30.1
2018-04-20 07:40:46,24.99,0,52.05,30.1
2018-04-20 07:40:58,24.99,0,52.05,30.09
2018-04-20 07:41:09,24.99,0,52.07,30.09
2018-04-20 07:41:21,24.95,0,52.06,30.09
2018-04-20 07:41:32,24.99,0,52.08,30.09
2018-04-20 07:41:43,0,0,52.1,0
2018-04-20 07:41:44,24.95,0,0,30.09
2018-04-20 07:41:55,24.99,0,52.09,30.08
2018-04-20 07:42:06,24.95,0,52.11,30.08
2018-04-20 07:42:18,24.95,0,52.11,30.08
2018-04-20 07:42:29,24.99,0,52.12,30.07
2018-04-20 07:42:40,24.95,0,52.13,30.07
2018-04-20 07:42:51,24.95,0,52.14,30.07
2018-04-20 07:43:03,24.95,0,52.15,30.07
2018-04-20 07:43:14,24.99,0,52.16,30.06
2018-04-20 07:43:26,24.99,0,52.18,30.06
2018-04-20 07:43:37,25.02,0,52.16,30.06
2018-04-20 07:43:49,25.05,0,52.18,30.06
2018-04-20 07:44:00,25.02,0,52.19,30.06
2018-04-20 07:44:11,25.05,0,52.19,30.05
2018-04-20 07:44:23,24.95,0,52.19,30.05
2018-04-20 07:44:34,24.92,0,52.19,30.05
2018-04-20 07:44:45,0,0,52.2,30.05
2018-04-20 07:44:46,25.02,0,0,0
2018-04-20 07:44:57,24.95,0,52.19,30.05
2018-04-20 07:45:08,24.95,0,52.2,30.05
2018-04-20 07:45:19,24.92,0,52.19,30.05
2018-04-20 07:45:30,0,0,52.19,30.05
2018-04-20 07:45:31,24.88,0,0,0
2018-04-20 07:45:42,24.92,0,52.2,30.04
2018-04-20 07:45:54,24.88,0,52.21,30.04
2018-04-20 07:46:05,24.88,0,52.23,30.04
2018-04-20 07:46:17,24.95,0,52.21,30.03
2018-04-20 07:46:29,24.92,0,52.24,30.03
2018-04-20 07:46:40,0,0,52.26,0
2018-04-20 07:46:41,24.88,0,0,30.01
2018-04-20 07:46:52,24.85,0,52.27,30.01
2018-04-20 07:47:03,24.82,0,52.26,30
2018-04-20 07:47:15,24.88,0,52.28,30
2018-04-20 07:47:27,24.85,0,52.29,29.99
2018-04-20 07:47:39,24.92,0,52.3,29.98
2018-04-20 07:47:51,24.85,0,52.33,29.98
2018-04-20 07:48:03,24.82,0,52.33,29.98
2018-04-20 07:48:15,24.88,0,52.33,29.98
2018-04-20 07:48:26,24.85,0,52.35,29.97
2018-04-20 07:48:39,24.78,0,52.37,29.97
2018-04-20 07:48:50,24.88,0,52.39,29.96
2018-04-20 07:49:02,24.92,0,52.4,29.96
2018-04-20 07:49:14,24.88,0,52.41,29.96
2018-04-20 07:49:25,0,0,52.41,0
2018-04-20 07:49:26,24.88,0,0,29.95
2018-04-20 07:49:37,24.85,0,52.41,29.95
2018-04-20 07:49:50,24.85,0,52.43,29.94
2018-04-20 07:50:01,0,0,52.44,29.94
2018-04-20 07:50:02,24.92,0,0,0
2018-04-20 07:50:13,24.82,0,52.49,29.94
2018-04-20 07:50:25,24.88,0,52.47,29.94
2018-04-20 07:50:36,24.82,0,52.46,29.93
2018-04-20 07:50:47,0,0,52.49,29.93
2018-04-20 07:50:48,24.82,0,0,0
2018-04-20 07:50:59,24.85,0,52.49,29.93
2018-04-20 07:51:10,0,0,52.5,0
2018-04-20 07:51:11,24.88,0,0,29.93
2018-04-20 07:51:22,24.88,0,52.51,29.93
2018-04-20 07:51:35,24.95,0,52.49,29.92
2018-04-20 07:51:46,24.92,0,52.54,29.92
2018-04-20 07:51:57,24.88,0,52.53,29.92
2018-04-20 07:52:09,24.85,0,52.53,29.92
2018-04-20 07:52:20,24.88,0,52.56,29.92
2018-04-20 07:52:32,24.88,0,52.57,29.92
2018-04-20 07:52:43,24.85,0,52.56,29.91
2018-04-20 07:52:54,24.82,0,52.57,29.91
2018-04-20 07:53:05,24.85,0,52.58,29.91
2018-04-20 07:53:16,24.88,0,52.61,29.9
2018-04-20 07:53:28,24.92,0,52.62,29.9
2018-04-20 07:53:39,24.92,0,52.62,29.9
2018-04-20 07:53:51,24.95,0,52.64,29.9
2018-04-20 07:54:02,24.95,0,52.65,29.9
2018-04-20 07:54:13,24.88,0,52.65,29.9
2018-04-20 07:54:25,24.92,0,52.67,29.89
2018-04-20 07:54:36,24.95,0,52.7,29.9
2018-04-20 07:54:47,24.95,0,52.72,29.9
2018-04-20 07:54:58,24.92,0,52.7,29.9
2018-04-20 07:55:09,0,0,52.7,0
2018-04-20 07:55:10,24.95,0,0,29.89
2018-04-20 07:55:21,25.02,0,52.71,29.89
2018-04-20 07:55:32,24.99,0,52.73,29.89
2018-04-20 07:55:43,25.02,0,52.73,29.9
2018-04-20 07:55:55,24.99,0,52.73,29.9
2018-04-20 07:56:06,25.02,0,52.74,29.9
2018-04-20 07:56:17,24.92,0,52.74,29.9
2018-04-20 07:56:29,24.99,0,52.75,29.9
2018-04-20 07:56:40,24.99,0,52.78,29.9
2018-04-20 07:56:51,24.95,0,52.75,29.9
2018-04-20 07:57:03,25.02,0,52.76,29.9
2018-04-20 07:57:14,25.02,0,52.75,29.9
2018-04-20 07:57:26,24.95,0,52.78,29.9
2018-04-20 07:57:37,24.95,0,52.79,29.9
2018-04-20 07:57:48,24.92,0,52.8,29.9
2018-04-20 07:57:59,24.95,0,52.81,29.9
2018-04-20 07:58:11,25.02,0,52.81,29.9
2018-04-20 07:58:22,25.02,0,52.82,29.9
2018-04-20 07:58:34,24.92,0,52.82,29.89
2018-04-20 07:58:45,25.02,0,52.81,29.89
2018-04-20 07:58:56,0,0,52.82,0
2018-04-20 07:58:57,24.95,0,0,29.89
2018-04-20 07:59:07,0,0,52.83,0
2018-04-20 07:59:08,24.99,0,0,29.89
2018-04-20 07:59:19,25.02,0,52.84,29.89
2018-04-20 07:59:30,25.05,0,52.85,29.9
2018-04-20 07:59:41,25.05,0,52.88,29.89
2018-04-20 07:59:53,25.05,0,52.88,29.9
2018-04-20 08:00:04,25.05,0,52.89,29.9
2018-04-20 08:00:15,25.02,0,52.89,29.9
2018-04-20 08:00:27,25.05,0,52.89,29.9
2018-04-20 08:00:38,25.02,0,52.89,29.91
2018-04-20 08:00:49,25.02,0,52.9,29.9
2018-04-20 08:01:01,24.99,0,52.89,29.9
2018-04-20 08:01:12,25.05,0,52.9,29.91
2018-04-20 08:01:23,0,0,52.91,0
2018-04-20 08:01:24,24.99,0,0,29.91
2018-04-20 08:01:35,25.02,0,52.9,29.91
